23.0,23.4,0.00,39.0,38.0,0.00,2017-05-12 09:46:10,
23.0,23.4,0.00,39.0,38.0,0.00,2017-05-12 09:46:12,
23.0,23.4,0.00,39.0,38.0,0.00,2017-05-12 09:46:14,
23.0,23.4,0.00,39.0,38.0,0.00,2017-05-12 09:46:16,
23.0,23.4,0.00,39.0,38.0,0.00,2017-05-12 09:46:18,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:21,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:23,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:25,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:27,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:29,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:31,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:33,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:35,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:37,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:39,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:41,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:43,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:45,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:47,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:49,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:51,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:53,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:55,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:57,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:46:59,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:01,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:03,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:05,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:07,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:09,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:11,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:13,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:15,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:17,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:19,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:21,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:23,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:25,
23.0,23.4,0.00,38.0,37.0,0.00,2017-05-12 09:47:27,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:29,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:31,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:33,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:35,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:37,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:39,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:41,
23.0,23.5,0.00,38.0,38.0,0.00,2017-05-12 09:47:43,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:45,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:47,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:49,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:51,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:53,
23.0,23.4,0.00,38.0,38.0,0.00,2017-05-12 09:47:55,
